file,SSIM,ΔE00,LPIPS,Ref_paths,Pip_paths,Ref_cmds,Pip_cmds,Ref_gzip,Pip_gzip,Size_Reduction
108,0.0904904798242759,38.063195476688946,0.6803653836250305,470,0,2163863,0,517009,3401,99.34217779574436
109,0.11712959593323613,34.821057750742995,0.6689181327819824,385,0,1811472,0,339965,2680,99.21168355566014
110,0.12710380084271058,32.99255547677951,0.6385905146598816,215,0,1040043,0,186667,1972,98.94357331504764
111,0.2663629936143239,26.968622471466926,0.5980333685874939,285,0,1378011,0,252849,1860,99.26438309030291
112,0.08184153483478501,30.430645809249363,0.6664186120033264,629,0,2461392,0,480508,3074,99.3602603910861
113,0.1495453420332194,32.52084092637272,0.7304850816726685,366,0,1974170,0,404214,2724,99.32609954133207
114,0.25381962213550163,30.29842255494252,0.626957893371582,162,0,1145403,0,230986,1329,99.42464045439984
115,0.11544393081062149,34.48417103506421,0.7085936069488525,320,0,1396430,0,296726,3130,98.94515478926687
116,0.09942933315305386,31.64897369735037,0.7021534442901611,621,0,3049070,0,611072,3762,99.38436059907833
117,0.20847849230970017,31.895717994956605,0.6274412274360657,272,0,1735614,0,361807,2537,99.29879742514656
118,0.14175834481344673,36.09320737454592,0.6982462406158447,472,0,2644986,0,628086,3189,99.49226698254698
119,0.15957974071237427,33.48108842343336,0.6836183667182922,298,0,1557136,0,296415,2714,99.0843918155289
120,0.026302059239614435,39.70502801636755,0.7534938454627991,173,0,655825,0,138749,3654,97.36646750607211
121,0.11184845282399856,39.0083582494514,0.7197099328041077,182,0,852656,0,138107,3000,97.82777122086497
122,0.243125886622385,27.688856976300944,0.6023692488670349,154,0,897409,0,177610,1158,99.3480096841394
123,0.2020344940428583,34.209705002869704,0.6205214262008667,142,0,846292,0,148871,1162,99.2194584573221
124,0.2564492957235731,32.72140265701973,0.6889927387237549,143,0,854508,0,120572,1236,98.9748863749461
125,0.22396595971022767,30.123638762403782,0.6386210322380066,342,0,1859102,0,345108,2002,99.41989174403375
